session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Sex,Nationality,Fluent languages,Current Country of Residence,Student Status,Employment Status,Country of Birth,First Language
5e2488bba8c1116fa9085b5f,599bf0606c165e000113fe27,REJECTED,2020-01-19 16:50:05.502000,2020-01-19 17:13:02.397000,1376.895,33,536,7,98,2020-01-19 19:15:50.011000,5BCAFE6C,Female,United States,English,United States,No,Part-Time,United States,English
5e2488e8e37cd9701dbe163a,572d2656109ab6000f514e48,APPROVED,2020-01-19 16:50:52.515000,2020-01-19 17:11:00.258000,1207.743,34,459,4,100,2020-01-19 19:13:10.335000,5BCAFE6C,Male,Canada,English,Canada,No,Full-Time,Canada,English
5e2488f896c2b6708cb51c58,58dde4b495b4740001733749,APPROVED,2020-01-19 16:51:14.749000,2020-01-19 17:10:58.155000,1183.406,23,179,1,100,2020-01-19 19:13:11.317000,5BCAFE6C,Female,Canada,English,Canada,Yes,Unemployed (and job seeking),Canada,English
5e24899c0c0b31713a2f00a1,59f6c60eda08940001d4e8d2,TIMED-OUT,2020-01-19 16:53:52.085000,,88474.13897,30,108,0,100,,,Male,Canada,English,Canada,No,Full-Time,Canada,English
5e2489a8292336708343f404,5ac2b4889534ba0001c72843,APPROVED,2020-01-19 16:57:53.232000,2020-01-19 17:26:41.010000,1727.778,22,116,0,100,2020-01-19 19:13:12.212000,5BCAFE6C,Female,United States,English,United States,No,Full-Time,United States,English
5e2489abdbc2c0000c978fc8,5c7c4d0dffaec400019b3699,APPROVED,2020-01-19 16:54:03.756000,2020-01-19 17:08:28.366000,864.61,33,156,1,100,2020-01-19 19:13:13.310000,5BCAFE6C,Female,Canada,French,Canada,No,Full-Time,Canada,English
5e2489b7747b1c000ae5f2f6,5cba563f99bc39001580d94e,APPROVED,2020-01-19 16:54:18.438000,2020-01-19 17:16:04.464000,1306.026,20,194,0,100,2020-01-19 19:13:14.243000,5BCAFE6C,Female,United States,"English, Spanish",United States,Yes,Other,United States,Spanish
5e2489f84548cd712dc6fd9d,5c80321274a33f0001e9087f,APPROVED,2020-01-19 16:55:32.279000,2020-01-19 17:19:31.883000,1439.604,19,172,0,100,2020-01-19 19:13:15.327000,5BCAFE6C,Female,United States,English,Mexico,Yes,Part-Time,United States,Spanish
5e248a2f895a08000c064247,597eafed2351f10001590837,APPROVED,2020-01-19 16:56:19.022000,2020-01-19 17:11:28.234000,909.212,28,431,4,99,2020-01-19 19:13:16.354000,5BCAFE6C,Female,United States,English,United States,No,Part-Time,United States,English
5e248a65e15d5a7001565da4,5c62f95f68fb190001cdbd72,APPROVED,2020-01-19 16:57:09.653000,2020-01-19 17:07:02.349000,592.696,19,156,1,100,2020-01-19 19:13:17.224000,5BCAFE6C,Male,Canada,English,Canada,Yes,Unemployed (and job seeking),Canada,English
5e248a68d3ba5770291a7837,5da90151062efc00151a593c,APPROVED,2020-01-19 16:57:14.603000,2020-01-19 17:12:40.550000,925.947,23,109,0,100,2020-01-19 19:13:18.156000,5BCAFE6C,Male,United States,English,United States,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English
5e248a9673f5a16fcade5a5b,5cdeb755a01d2f0018711150,TIMED-OUT,2020-01-19 16:58:00.307000,,88226.111504,29,210,1,100,,,Female,United States,English,United States,No,Full-Time,United States,English
5e248aaefc057d000d959b20,548491acfdf99b0379939cc0,APPROVED,2020-01-19 16:58:26.419000,2020-01-19 17:12:28.559000,842.14,28,588,1,100,2020-01-19 19:13:19.166000,5BCAFE6C,Female,United States,English,United States,No,Part-Time,United States,English
5e248abb5851986fc4b5ee49,5cba77b811908d001852e8f4,APPROVED,2020-01-19 17:03:40.919000,2020-01-19 17:18:55.394000,914.475,29,101,0,100,2020-01-19 19:13:20.025000,5BCAFE6C,Female,United States,English,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English
5e248b601c18cc010b3d9595,5d3b61c161a23e001c080633,APPROVED,2020-01-19 17:01:20.551000,2020-01-19 17:41:21.494000,2400.943,31,222,0,100,2020-01-19 19:13:20.984000,5BCAFE6C,Male,United States,French,United States,No,Full-Time,United States,English
5e248bb5db62ba70108b2b10,5caab3f119731a00190bbbcd,APPROVED,2020-01-19 17:02:50.060000,2020-01-19 17:23:21.875000,1231.815,21,201,1,100,2020-01-19 19:13:21.952000,5BCAFE6C,Female,United States,English,United States,Yes,DATA EXPIRED,United States,English
5e248bd8e837f370d4ece5ed,5d77c55fde415100197ee5ee,RETURNED,2020-01-19 17:03:31.866000,,87894.649893,27,173,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e248bd9b2020370efb57772,5d7852ae06159300014a3f7e,APPROVED,2020-01-19 17:03:31.606000,2020-01-19 17:30:29.558000,1617.952,35,125,0,100,2020-01-19 19:13:22.916000,5BCAFE6C,Male,United States,English,United States,No,Full-Time,United States,English
