session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Current Country of Residence,Fluent languages,Employment Status,Nationality,First Language,Sex,Country of Birth,Student Status
5e2232033c2303000c5ab1fe,5aea351112ed990001f873c3,REJECTED,2020-01-17 22:15:31.348000,2020-01-17 22:29:40.275000,848.927,24,200,2,100,2020-01-18 19:27:01.039000,5BCAFE6C,Canada,English,Part-Time,Canada,English,Male,Canada,Yes
5e223218fcf95e50dcf6be6e,572cd18388902e000e1e3fae,APPROVED,2020-01-17 22:15:57.150000,2020-01-17 22:37:44.969000,1307.819,25,376,2,100,2020-01-18 19:25:10.020000,5BCAFE6C,United States,English,Unemployed (and job seeking),United States,English,Female,United States,No
5e223240f83265505b53c9f7,5aa8ebf089de8200013f8c48,APPROVED,2020-01-17 22:16:33.911000,2020-01-17 22:34:55.233000,1101.322,35,263,0,100,2020-01-18 19:25:10.945000,5BCAFE6C,Canada,English,Full-Time,Canada,English,Male,Canada,No
5e223280738f0407fd395f87,5bd88f700aac450001f98567,APPROVED,2020-01-17 22:17:36.390000,2020-01-17 22:29:51.758000,735.368,29,225,0,100,2020-01-18 19:25:12.008000,5BCAFE6C,Canada,"English, Korean",Full-Time,Canada,Korean,Female,Korea,No
5e22329406121f50557a347c,5c2cca7e89f035000175b9e6,APPROVED,2020-01-17 22:18:12.725000,2020-01-17 22:38:01.919000,1189.194,35,115,0,100,2020-01-18 19:25:12.912000,5BCAFE6C,Canada,English,Full-Time,Canada,French,Male,Canada,Yes
5e2232ca7e94ed0719e40a4d,5b20bb8668a5ed000173e0b4,APPROVED,2020-01-17 22:18:52.759000,2020-01-17 22:34:37.600000,944.841,24,211,0,100,2020-01-18 19:25:13.965000,5BCAFE6C,United States,English,Part-Time,United States,English,Male,United States,No
5e2232cb75dd6350c79bb01d,5d9950b4d6233a0016fc735a,APPROVED,2020-01-17 22:18:51.902000,2020-01-17 22:37:53.809000,1141.907,23,125,0,100,2020-01-18 19:25:14.851000,5BCAFE6C,United States,English,Full-Time,United States,English,Female,United States,Yes
5e2232d1595217504f77678a,57a9281c82f7f90001eeacef,APPROVED,2020-01-17 22:19:00.781000,2020-01-17 22:38:58.403000,1197.622,24,129,0,100,2020-01-19 15:44:41.014000,5BCAFE6C,United States,"Portuguese, English",Part-Time,United States,English,Female,United States,Yes
5e2232fa930e1907dbe36d2d,5a11e6eb30ad7f0001b6ca86,REJECTED,2020-01-17 22:19:42.599000,2020-01-17 22:32:09.367000,746.768,28,278,3,100,2020-01-18 19:28:15.916000,5BCAFE6C,Canada,English,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Female,United States,No
5e22330d75dd6350c79bb01e,5c340181938e730001af10b5,REJECTED,2020-01-17 22:19:57.326000,2020-01-17 22:36:51.555000,1014.229,26,225,2,100,2020-01-18 19:28:28.641000,5BCAFE6C,United States,English,Full-Time,United States,English,Female,United States,No
5e22331ddac57450d7a70c1d,5c804c9cb9233b00012991d4,APPROVED,2020-01-17 22:20:16.328000,2020-01-17 22:35:27.427000,911.099,28,108,0,100,2020-01-18 19:25:15.768000,5BCAFE6C,Canada,English,Full-Time,Canada,English,Male,Canada,No
5e22331e0c611450bb0a15e3,5c378798bef9a20001e3a01a,APPROVED,2020-01-17 22:22:39.521000,2020-01-17 22:34:02.723000,683.202,30,406,1,100,2020-01-19 22:05:06.903000,5BCAFE6C,United States,"English, Spanish",Part-Time,United States,English,Male,United States,No
5e2233482ad7fd0819c4fd38,5cee02c4f19e6300175f8cbe,APPROVED,2020-01-17 22:21:00.666000,2020-01-17 22:32:04.607000,663.941,28,113,1,100,2020-01-19 19:24:30.899000,5BCAFE6C,United States,English,Unemployed (and job seeking),United States,English,Male,United States,Yes
5e223363eb47555173c819c9,5caa7f8c0d95570013d82f2f,APPROVED,2020-01-17 22:21:23.857000,2020-01-17 22:41:40.808000,1216.951,30,293,1,100,2020-01-18 19:25:16.661000,5BCAFE6C,United States,Spanish,Full-Time,United States,English,Female,United States,No
5e223364727e0450c0afd423,5d1015fa6323dd0001923105,RETURNED,2020-01-17 22:21:27.792000,,241635.022566,20,112,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e22336b677d6f517549fe66,5bc151ece6491a00013a21f3,APPROVED,2020-01-17 22:21:31.853000,2020-01-17 22:33:44.012000,732.159,30,390,0,100,2020-01-18 19:25:17.667000,5BCAFE6C,United States,English,Full-Time,United States,English,Female,United States,No
5e223370e78703503376bce2,5c9314a3886f470015b76ea5,APPROVED,2020-01-17 22:23:35.994000,2020-01-17 22:47:38.057000,1442.063,26,134,0,100,2020-01-18 19:25:18.591000,5BCAFE6C,Australia,English,Part-Time,United States,English,Female,United States,No
5e223389ed7a2050f2852697,5c429ca9204d6700012f65f5,APPROVED,2020-01-17 22:22:04.807000,2020-01-17 22:40:56.263000,1131.456,27,199,1,100,2020-01-18 19:25:19.637000,5BCAFE6C,Canada,"Chinese, English",Full-Time,Canada,English,Male,Canada,Yes
5e2233972cce640859d9aebd,5b8f08cbb007ed0001aaa0bd,REJECTED,2020-01-17 22:22:16.779000,2020-01-17 22:34:59.505000,762.726,20,496,2,100,2020-01-18 19:28:59.113000,5BCAFE6C,United States,English,Full-Time,United States,English,Male,United States,No
